CustomerName,Class,Long,Latt,Gallons
1000-1-10 CITGO PETROLEUM PLANT 0010    ,RESINS                        ,-87.7599,41.844382,6447
1000-1-10 CITGO PETROLEUM PLANT 0010    ,All,-87.7599,41.844382,6447
1000-6-10 OKLAHOMA CITY OK LUBE BLEND PL,All,-97.47411,35.476457,1040
1000-6-10 OKLAHOMA CITY OK LUBE BLEND PL,RESINS                        ,-97.47411,35.476457,1040
"1005-1-10 CITY TRANSFER, INC.           ",All,-78.54272,41.4376,165327
"1005-1-10 CITY TRANSFER, INC.           ",FUEL OIL                      ,-78.54272,41.4376,165327
1007-1-10 ARCHROMA U.S INC.             ,All,-81.49201,33.080604,18914
1007-1-10 ARCHROMA U.S INC.             ,KENSOL DISTILLATES HT         ,-81.49201,33.080604,18914
1010-1-10 CLARK OIL & CHEMICAL          ,RESINS                        ,-81.65009,41.469951,2306
1010-1-10 CLARK OIL & CHEMICAL          ,All,-81.65009,41.469951,2306
1015-1-10 CLIMAX MOLYBDENUM             ,BASE OILS                     ,-91.33866,40.637694,2420
1015-1-10 CLIMAX MOLYBDENUM             ,All,-91.33866,40.637694,2420
1016-1-10 ARCH WOOD PROTECTIONS INC.    ,All,-84.9865,34.766095,12656
1016-1-10 ARCH WOOD PROTECTIONS INC.    ,WAXES                         ,-84.9865,34.766095,12656
102-1-10 ABC COMPOUNDING OF TEXAS      ,All,-97.01216,32.759922,209
102-1-10 ABC COMPOUNDING OF TEXAS      ,RESINS                        ,-97.01216,32.759922,209
1040-2-10 CONCRETE SEALANTS INC.        ,All,-84.17685,39.954239,1080582
1040-2-10 CONCRETE SEALANTS INC.        ,IN PROCESS-BASE OILS          ,-84.17685,39.954239,701872
1040-2-10 CONCRETE SEALANTS INC.        ,RESINS                        ,-84.17685,39.954239,378710
106-3-10 ABATIX CORP HOUSTON           ,All,-95.47644,29.833326,3348
106-3-10 ABATIX CORP HOUSTON           ,OCTG                          ,-95.47644,29.833326,3348
1071-901-10 CONNELL BROTHERS COMPANY LTD  ,All,127.5127029,36.09724045,54080
1071-901-10 CONNELL BROTHERS COMPANY LTD  ,SPECIALTY PRODUCTS            ,127.5127029,36.09724045,30576
1071-901-10 CONNELL BROTHERS COMPANY LTD  ,RESINS                        ,127.5127029,36.09724045,23504
1071-904-10 CONNELL BROS COMPANY LTD      ,All,103.8205338,1.321995974,2080
1071-904-10 CONNELL BROS COMPANY LTD      ,RESINS                        ,103.8205338,1.321995974,2080
1071-905-10 CONNELL BROTHERS CO. LLC      ,All,103.9754333,36.55308533,116480
1071-905-10 CONNELL BROTHERS CO. LLC      ,RESINS                        ,103.9754333,36.55308533,116272
1071-905-10 CONNELL BROTHERS CO. LLC      ,SPECIALTY PRODUCTS            ,103.9754333,36.55308533,208
1071-906-10 CONNELL BROS. CO. LLC         ,RESINS                        ,103.9754333,36.55308533,10811
1071-906-10 CONNELL BROS. CO. LLC         ,All,103.9754333,36.55308533,10811
1090-903-10 COPEX INDUSTRIES              ,All,10.3822031,51.20246506,184
1090-903-10 COPEX INDUSTRIES              ,OCTG                          ,10.3822031,51.20246506,184
109-2-10 AES BENWOOD WH                ,All,-80.72744,40.013637,800113
109-2-10 AES BENWOOD WH                ,KENSOL DISTILLATES HT         ,-80.72744,40.013637,800113
109-3-10 AES                           ,KENSOL DISTILLATES HT         ,-80.10014,40.178679,13928
109-3-10 AES                           ,All,-80.10014,40.178679,13928
1093-901-10 COSAN LUBRIFICANTES E         ,All,-52.97311783,-10.81045246,6255
1093-901-10 COSAN LUBRIFICANTES E         ,RESINS                        ,-52.97311783,-10.81045246,6255
109-4-10 AES                           ,All,-82.00011,37.833826,174679
109-4-10 AES                           ,KENSOL DISTILLATES HT         ,-82.00011,37.833826,174679
109-5-10 AES                           ,KENSOL DISTILLATES HT         ,-80.40715,40.114204,83715
109-5-10 AES                           ,All,-80.40715,40.114204,83715
1106-901-10 CRAIG INTERNATIONAL SOUTH     ,OCTG                          ,25.06287956,-29.04618454,51
